,dialogue_id,turns,text,emotion,act
10,4,2,"You mentioned the second part now, about what is your connection or relationship? Do you feel like you are being persecuted or treated this way? Or, I'm not sure what my relationship with you is? I feel like you are quite loved by him. That is, when you just talked about this, it sounded like a discussion on a very big social issue. But I think there is something in it. , it is related to you, and then it is something with some emotions, like this.",no emotion,inquire/emotional reflection
11,5,1,"Yes, I'm very dissatisfied. Growing up, I encountered similar problems, so the social aspect was involved. Through my own experience, I met some people with similar problems. For example, for some people who are bullied, I will help them get out of the bullying situation. Of course, some people will have stronger reactions, and I can't help them. However, I will try to minimize physical damage as much as possible. I won’t talk about this part now, because that is someone else’s business. There are also some students with emotional disorders. I am good at seeing their advantages, and I know that they can actually become my friends.",anger,no action
12,5,2,"That is, if you are of the same type and ethnic group, and you are treated or harmed in the same way, what you just talked about seems to be how you can help others, support others, encourage others, and then hope that others can live a better life. good. But I seem to be very curious about what you said, what about you? How do you take good care of yourself or help yourself? Do you think you are helpless in this regard? still?",no emotion,inquire/emotional reflection
13,6,1,"Where do you feel the anxieties in your heart are? Well, it feels like it's dragging me down a bit. Well, although I have been trying various methods since I was a child, I am much better now. Otherwise, normally, when talking about what I just said, I would be extremely anxious or overly worried.",disgust,no action
14,6,2,"That, because I see a little tear in the corner of your eye, and it seems like you have a lot of feelings and emotions inside when you talk about this topic. So I'm not sure, did you feel angry when you were talking about these things? Or what about other emotions? There seemed to be some emotions coming up.",no emotion,inquire/emotional reflection
15,7,1,"The dominant emotion is anger, so to speak. Along with anger, there is also sadness.",fear/sad,no action
16,7,2,What part are you asking about? What do you mean when you say there will be big flaws?,no emotion,inquire
17,8,1,"As a child, he was accused by his parents of surviving in that way. He then brought this attitude to reporting in groups or working with others. At the same time, he is a very capable person. However, he does not want to take on too much responsibility, but he also wants to be a leader. This will cause big problems. After such people transfer negative energy to me, I stop. Because I won't hurt others anymore. Then, these negative emotions accumulated in me and eventually exploded. It's like a self-harm feeling.",anger,no action
18,8,2,"When you take on these emotions, they visibly bother you and interfere with your life. You seem to be unable to do what you want to do stably. Is this how it feels? In fact, from the beginning, I don’t know, I have a feeling today that sometimes when describing your own state, you will talk about it from a relatively macro, very peripheral, very macro, or a kind of society. Something of value to go with. Then, it seems that there is no way to talk about one's own affairs, or one's own feelings and status quickly. It seems that you want us to understand the context and situation you are in first, yes. Then you can express yourself like this, yes. So this is a way and mode that you may often use to interact with people. Let me summarize briefly. In addition to the feelings I just expressed, you mentioned two main issues. First, you are anxious about your abilities and financial situation, which seems to be a core issue for you. You are very concerned about your ability to make enough money, and you feel very insecure and anxious about it. Even though you don't know why you are so anxious, it seems to be deeply affecting your life and relationships, although not severely damaging. Secondly, you mentioned the trouble you experienced growing up, being affected by other people's emotions and problems. At first I didn't realize you were talking about yourself, but then I figured it out. You are often affected by the emotions and problems of others, and this effect seems to be quite strong, making you feel angry and sad, and interfering with your performance and status. At the same time, you feel that these impacts may affect your abilities and future. Overall, even though these problems may seem like small things, they affect you in many ways.",no emotion,inquire/emotional reflection/brief description of the semantics/summary
19,9,1,"I am Wenjin Psychologist, so this is our first time today. I want to know what you would like to talk about when you come today.",no emotion,inquire
20,9,2,"I mainly want to think that I am prone to anxiety, such as lack of self-confidence, which can actually cause a lot of trouble in life, and I want to find out the reason, because many books or other things will say that it may be due to family factors or something when I was young. While studying, I feel that my current life is normal, but I seem to be more easily affected by the environment or nervous than others.",no emotion,no action
21,9,3,"So I just heard that you seem to find that you are easily nervous and anxious. Even though life seems to be OK for now, you still want to know your anxiety and how you can reduce it. I'm very curious. Just when you said you were anxious, what kind of things would make you feel anxious easily?",no emotion,inquire/brief description of the semantics
22,10,1,"The most obvious one is that when I perform on stage, everyone will pay attention to me. And sometimes, I may be divided into groups for group activities and then have to score or be graded. I will feel like I am a professional. If you don’t have the ability, you will be very worried that joining a group with others will drag them down or something like that.",fear,no action
23,10,2,"So you will feel very nervous when you go on stage. Also, what seems to make you worried when the group report is graded is what makes you worry about when it is graded.",no emotion,inquire/emotional reflection
24,11,1,I'm afraid that it's a bit like I'm afraid that people will say that I have no contribution or that I'm just lying around.,fear,no action
25,11,2,"So you are afraid that you will be thought by others that your ability is not good enough. When you go on stage, what will the nervous person be worried about?",no emotion,inquire/emotional reflection
26,12,1,"It also feels a bit like I'm afraid of being discovered by others that I'm not capable enough, or something like that?",fear,no action
27,12,2,"So it seems that this is what you are worried about. I seem to hear you say that you are more worried about your lack of ability. When you are like this, you find that what you worry about is that you are prone to anxiety. When did you start to find yourself like this?",no emotion,inquire/emotional reflection
28,13,1,"It seems that since I was a small junior high school in China, whenever I had the chance to go on stage, I would easily get nervous. But when I was a child, I was very afraid of embarrassment because I was not very outgoing and usually would be very quiet when giving a report. I used to be I am very afraid of this, but now it seems that besides this, I also have some other parts that are afraid of lack of ability.",fear,no action
29,13,2,"Well, ok, it doesn’t seem like I was embarrassed like before when I was a kid. I also started to find that I was worried about my incompetence. That’s what you used to do. In the past, you would usually find yourself anxious when going on stage, like I just said, or when you would be anxious when reporting on ratings. What have you done before? Just let yourself overcome this anxiety. Have you tried anything?",no emotion,inquire/brief description of the semantics
30,14,1,I always catch the classmates next to me. It would be much better if there is someone who can go on stage with me and she doesn’t have to speak. She just stands next to me.,happiness,no action
31,14,2,"Oh, so having someone with you will make you feel more at ease",no emotion,emotional reflection
32,15,1,"Well, it seems that there is nothing else. I am very scared to go up there.",no emotion,no action
33,15,2,"Well, so you will let yourself try and someone will catch the classmate next to you. As long as you mean as long as someone is by your side, it will make you feel more at ease.",no emotion,inquire/emotional reflection
34,16,1,"It feels like one person can distract the audience's attention or something, but there is no one person who can bear everyone's attention.",no emotion,no action
35,16,2,"Well, it does seem that you can feel more at ease when there is distraction. Now, because you just said that it seems that the impact is okay in life right now. I just said that you will feel that you have always been in this situation, and you hope that you can. There needs to be a way to reduce it a little bit",no emotion,brief description of the semantics
36,17,1,"Well, it’s just that I sometimes talk to others about these things from time to time, but you don’t actually get any real results, but just venting occasionally seems to make you feel more at ease for a while, but it just doesn’t feel like a very good thing all the time. The good way is to become I always need someone to talk to these things",fear,no action
37,17,2,"Well, it's good to vent. If you have catharsis, it's a little better. But it seems that when you meet, you will still be very nervous. In addition to finding someone, have you tried other methods?",no emotion,inquire/emotional reflection
38,18,1,I once brought a doll on stage and it seemed to me like this and that several times. This is a method that can be used in less formal occasions.,anger,no action
39,18,2,"Well, I found that you have also tried many ways to help yourself. It means that someone has accompanied you or you are looking for a doll. It seems that I heard you just said that as long as there is someone to accompany you, there is something or someone to accompany you. It seems that it can help you. Well, it sounds like you have used these methods when you felt very anxious in the past. This anxiety seems to really cause greater anxiety when you encounter these situations. Maybe this is It's a little hard to avoid, so what you will hope for when you come to this meeting is that you can perform how you want.",no emotion,inquire/brief description of the semantics
40,19,1,"As for me now, I often need encouragement from others or others to tell me that I am not that bad in order for me to have confidence. But I hope that I can achieve something through my own efforts or something like that. I hope I can give myself confidence",anger,no action
41,19,2,"Oh, you hope that you can help yourself more and make you more confident. What do you think about yourself that you hope to be more confident about? Are there any areas in yourself that might make you feel less confident?",no emotion,inquire/brief description of the semantics
42,20,1,"When I think about it, the most important thing I think is that I am not very good at speaking or socializing. Then there is the professional ability part, which may be in class grouping. Then the expressive ability is more or less, but I feel that in terms of grades, Well, my high school was eh, my junior high school was in Pingtung, then I continued high school, and now I'm in Jiaotong University. In fact, my grades since high school have been in the middle, and no matter what I want to do, I will be stronger, and they can do many things easily. I just feel like I'm a bit useless, or maybe others can take a lot of difficult courses in one semester, and then I just can't cope with it. That's what I often have to face. I just spend the same amount of time, but the courses I can take are comparable. Less or something then right",sad,no action
43,20,2,"Well, it seems that when I was in high school, I felt like this, that we are needed. Compared with others, in fact, you seem to have more strength, and you will feel that you are harder. There is a feeling that you need to chase others all the time.",no emotion,emotional reflection/brief description of the semantics
44,21,1,"But when I was in high school, it seemed that it was not so easy to go on stage or be in groups, and it was not so easy to be nervous. I feel like there was a group in my high school where I happened to meet a group of very good, very good friends in the class, and then I just happened to In that class, everyone is familiar with each other, so there is no need to worry about the awkwardness mentioned before. Even though my grades are not very good in terms of grades, I feel like I am quite popular in interacting with everyone. That kind of thing is that in the second and third years of high school, you don’t seem to be so nervous. Even though you are still very tired, on the one hand, there is someone to talk to. On the other hand, there is less of that kind. I think, uh, after that, it may be more like having someone to accompany you. that feeling",happiness,no action
45,21,2,"It seems that in the high school you just mentioned, I heard that it is easier to be nervous when you have good friends in high school. It seems that if the people around you can make you feel that they are supporting you, it will actually make you feel that they are right. You will feel more at ease when things are tense. You seem to have mentioned it just now. In fact, you are not confident in many parts of yourself. One part is social interaction. You seem to have no confidence in your interpersonal relationships. That was what you mentioned just now when you were in high school. How do you think you have a group of good friends? You become good friends with them whenever you have the chance.",no emotion,inquire/emotional reflection/brief description of the semantics
46,22,1,"I'm not sure if it has any influence, but when I was a sophomore in high school, even though I wasn't good at it, I felt like I wanted to get to know more people, but it seemed that I felt a little more proactive than usual to talk to the people next to me, although it wasn't necessarily everyone. It's all ok as long as the frequency is right and we can chat well, but it seems that at least most of them, I can feel that I can be sure that they are really familiar with each other even if they are not close, but they kind of like me and then I go to college. Before I went to college, I clearly felt that I didn’t have the same feeling of wanting to socialize when I was a sophomore in high school. So now, except for my roommates, I don’t seem to be very familiar with anyone else.",happiness,no action
47,22,2,"Well, it seems that the high school student said, I heard that you are actually very brave and take the initiative to try to contact different people. Although you know that some people may be able to contact some people, you may not necessarily become familiar with them, but you are friends in high school. In fact, you tried to actively contact and see them, and gradually got better. However, after college, you seemed to find that you didn’t want to socialize so much. In high school, you just felt that there was some reason or something happened. Things that make going to college different?",no emotion,inquire/emotional reflection/brief description of the semantics
48,23,1,"Maybe it’s because I didn’t like this department very much when I was in it, and then I didn’t miss it very much, and then I was very negative, so I may have left an impression.",sad,no action
49,23,2,So what department did you originally expect that you wanted to major in?,no emotion,inquire
50,24,1,I miss physics but I don't miss physics now,no emotion,no action
51,24,2,"So it seems that after you go to college and you hear that the department is not the one you expected, you will feel less motivated towards this environment. Now, what are your thoughts on this environment now?",no emotion,inquire/emotional reflection
52,25,1,"The better thing is that after thinking about it, it seems that this one, uh, since the last semester, uh, there has been a change. At the beginning of last semester, the relationship part was about breaking up. But actually, later on, I felt that it was not suitable, so I didn’t, I didn’t say much. I was sad, but it was just an opportunity. I really wanted to get to know more people, so I joined a volunteer group or a volunteer group. Later, I went to a program like the Animal Protection Association, and then there was a theater. Participate in more activities that I haven't been to before because I was really isolated during my freshman and sophomore years. I only had classes in the department and then no classes, so I knew a lot of people. Then I seemed to gradually feel happier, but it seemed to be limited to when I was participating in activities with everyone. Sometimes when I returned to the dormitory, I still felt that I would go back to the state where I felt like a waste.",happiness/fear,no action
53,25,2,"Well, actually, after you went to college, you did some things and tried to join some clubs or participate to get to know more people.",no emotion,brief description of the semantics
54,26,1,"Sometimes I feel that I really don’t like to socialize that much. Now I go to these groups to join, and I feel that I should get to know people. But speaking of it, just getting to know people or socializing will still consume a lot of my energy, and then I will feel that I have already Well, I have seen a foreign post before, and it said that the concept is that I already have a group of very good friends, why do I need to go again? Why do I have to force myself to get to know others? Sometimes I feel that since I already have a group of real friends from high school that I think will last a long time. Then I think, why should I keep forcing myself to socialize? It’s like this contradiction between the two.",surprise,no action
55,26,2,"Well, I was quite curious at that time, what was the reason that made you try and want to go to the club at that time?",no emotion,inquire
56,27,1,"I feel that my college life is a bit boring. I have always imagined that it is much different, because this year in our department happens to have very little cohesion. Then maybe when the epidemic comes, there will be nothing, no activities, and everyone is not familiar with them. I feel that college life is boring, so I would like to say that I should find more activities, which are so-called activities outside of schoolwork. Well, it doesn't seem to be the main purpose. It is the second priority.",no emotion,no action
57,27,2,"No. 2 seems to have heard that for you, in fact, you just go to participate and talk to so many people. You join the club and get to know more people. The main reason is to make your college life richer. But in fact, I also heard that you actually Socializing is not something you will do, but it will make you feel a little tired. Although you are a person, you may need to go back to the dormitory in time and keep yourself away from these people for a while, but I also heard that you actually When I was in high school, I actually had a group of really good friends. It made you feel that those friends could also support you, and it also gave you a lot of confidence. So in fact, I had Now, actually, I once had friends like this, and I am still in contact with them, so it remains the same state until now. Well, in this way, I also feel that you will, in fact, you also know that you are your own social network. To what extent do you have energy, there will be times when you want to get along with yourself, and I also feel that you actually try to do a lot with others, that is, get to know others from high school to college. Although I seem to hear you, I feel I just don’t have that much confidence in my social skills, but in fact, I see that you are very brave. From high school to now, when I get to know you, you actually try to get in touch with others by yourself.",no emotion,emotional reflection/summary
58,28,1,"Another thing is that I just talked about bravery. This is something that I think is cool. I am often said to be brave by people around me, but I don’t think I am brave at all. I have also asked others why they are like this. They would say, for example, I will take some difficult majors in other departments by myself, or something like that, I need someone to give me a ride, or something else in life, I think it is normal for her to handle it by herself when she becomes an adult. But they don't seem to have this ability yet, but they don't dare to do it alone. When they hear it, they will be very happy at the moment, but um, they will feel that sooner or later everyone will have to do this, which makes it a little bit empty.",happiness/fear,no action
59,28,2,"Oh, so you feel empty. Then what did it feel like to you when I mentioned this just now?",no emotion,inquire/brief description of the semantics
60,29,1,"Quite surprised, but it’s good and I’m happy",happiness,no action
61,29,2,"But I seem to have discovered one thing. In fact, you are trying. You will try. You will try to make yourself do something that seems to be a little more challenging. In fact, friends and classmates next to our friends will see that you are It seems that he is brave enough to take on challenges, but to you, it seems that you feel like this is the right thing to do.",no emotion,no action
62,30,1,"Part of it is, and part of it is worried about whether it will be. In fact, it is a bit similar to self-impression. In fact, it is just that I feel that I have taken a big step, but in fact, for other people, they are all very I don’t dare to do simple things that I can do, and I don’t dare to use them to praise me for being brave, to give myself confidence.",fear,no action
63,30,2,"Okay, then what do you think about them praising you? What do you think they mean by praising you?",no emotion,inquire
64,31,1,I'm not sure either,no emotion,no action
65,31,2,"Well, what we are doing here is a simple review. Today, today, today we have our first meeting. We have some things that we have already mentioned. We want to talk about it today. In fact, we want to make ourselves less nervous and less anxious. In fact, it was also mentioned that I find that I am not so confident in myself, maybe in interpersonal relationships, academic matters, or appearance, and I find that I just don’t seem to be so sure about these things. But in fact, in the eyes of others, you are not so confident. When you see other people's comments about you, you will feel that you are brave and you will try it. However, there seems to be another worry for you, which is that if you hear this today, you will be happy and you will feel that maybe you will not. Yes, actually it is simple and not as challenging as others say, so it seems that it will make you unable to feel more confident in yourself. Well, what we just talked about is what do you think when others talk about this? That is, in fact, there seems to be a feeling, but there is a gap. What others actually see of you is that you are a brave person. This is the same as your current self-identification in your heart. It seems to be this performance and your own identification of yourself. It doesn’t seem to be the same. Maybe we can continue to this aspect next time and discuss more about the topic you want to talk about today.",no emotion,summary
66,32,1,"Hello Chiba, this is our second consultation today. What specifically do you want to talk about today?",no emotion,inquire
67,32,2,"I want to talk about what I did this week first. I have a lot of things to do this week. We had an experimental class on Monday and what was taught in that class was very difficult. It was to operate a software but the steps were very complicated. Then everyone In fact, very few things were successfully completed in the end. Because we were working in groups, as long as one person did it, we were called the hope of the whole village. I was very lucky to survive to the end, and I was very happy. Recently, I have also experienced long-distance running. The main reason is that I watched a running-related animation and then felt very happy and wanted to exercise. Previously, a doctor told me that my heartbeat was too fast and told me to exercise more, so I wanted to run. I asked my friends to go together, and they would all run together, and then they would rest first when they were tired, and then they would run so much with you, and then they would feel happy and have a sense of accomplishment and run at their own speed. If it is increasing, you will be happy. Then anyway, I received one on Friday, which is about theater-related activities, that is, it is the training of a theater assistant. After the training, you can schedule classes at the beginning of this semester, and then it is performing arts, Jiaotong University Performing Arts, listening to performances, helping out, whether it is after There are all kinds of platoon skills, such as lighting control, sound control, receptionist and the like at the front desk. Then this week, the shift schedule came out, and I will be working in the backstage for the first time tomorrow, so I am a little worried because it is at that time. There are only videos in the training class, so I can’t learn anything at all, and I feel like a novice. I feel terrible about tomorrow, but I’m looking forward to it. Anyway, I’m pretty happy this week.",happiness/fear,no action
68,32,3,"This week, I heard you share several things. It was in the experimental class. The experimental class was a whole group. I hope it seems that you finally completed it. Then you went for a run. Then, recently, the next thing is to start. To be a helper in this backstage theater",no emotion,brief description of the semantics/summary
69,33,1,"It's the theater where it's a bit of a start. It seems like I'm not very capable. Even though I'm looking forward to it, I'm very scared to go there. It's funny, it's a disservice, etc., so I still feel a little nervous and a little anxious.",fear,no action
70,33,2,"It feels like the last time I had the first consultation, I mentioned that it is actually quite easy to worry that my ability is not good enough. It seems that I need to feel that I need some affirmative things or something. If you have affirmation from those around you and affirmation from those around you, it will make you feel that you are capable. What do you think?",no emotion,inquire
71,34,1,"Because this is my first time to go there, people around me have more relevant experience and know that they may have some very solid affirmations. After all, I haven’t been through it yet. Some people will say that you can go ahead and predict that you will ignore the matter. I imagine something bad will never happen at all. That kind of situation will not happen. But I have always been a little skeptical about this idea. Is this idea good or helpful or will it change? Just wait and see. Maybe they are overconfident or something like that",fear,no action
72,34,2,"So it seems that you are more afraid because you feel that it is easier for you to worry about being overconfident, but it seems that you hope that you can be confident?",no emotion,emotional reflection
73,35,1,"Well, I always feel like I have no way of knowing the principles in other people's minds, and then I feel like I don't have a standard to judge whether the information I have now is reasonable or too little, too much, and I feel a bit confused.",fear,no action
74,35,2,"So it seems that it is easier for you to know whether you really have that ability or whether you are overconfident, based on other people's evaluations and some feedback given by others to let you see yourself.",no emotion,brief description of the semantics
75,36,1,"Well, maybe I really need others, that is, I would really like to hear feedback or comments from others, good or bad, but I want to know a standard. I have asked the people around me to give me more feedback if nothing happens. It's quite interesting, but you can't always rely on other people's feelings.",no emotion,no action
76,36,2,"Well, the feedback the people around you will give you is the feedback they have given you.",no emotion,inquire
77,37,1,"Well, I remember knowing someone who was a little older than me, even a senior. Because I think he is very mature in his heart, so he would be a bit like an elder and would guide me or encourage me. It's not the kind of crazy praise, but it's quite practical. And there is one of my friends in high school. He is also a person with a rich inner world, and he also seems to always feel that he is not good enough. He may have talked to others recently or if he has any thoughts, I would like to share them. Or if he is not in a good state, he will come to me and he will be told that he is very suitable and suitable for being a listener. There are quite a few people who will. If you like to talk to me, even though you think I can’t answer anything, then when you comment on your high school classmates, they will say that I’m probably very interesting, right?",no emotion,no action
78,37,2,"So because many people will listen to it, it will be interesting. It seems that it is difficult to really go into it in your own heart. It seems that it is difficult to accept it. If you ask for their evaluation of you, you will seem to hope that others will hope to truly understand yourself from other people’s evaluation. I have this ability, but there seems to be another situation where when I really receive these comments, it seems difficult to believe that this is really my ability.",no emotion,brief description of the semantics
79,38,1,"But I myself am a little aware that I am not used to receiving compliments from others, and I have shared this with a friend who feels that he is not good enough. I think because he is the same as me, I feel that he is actually very, very good. Then I told him that I think everyone's praises for him are sincere. I always treat anyone like me. Even if I have problems with myself, I feel like I treat other people when I talk to others. It's quite easy, but it's hard to convince myself. It's the same thing. It's not that I don't know, but I just can't convince myself.",no emotion,no action
80,38,2,"Then I think they just can’t convince themselves that it’s just that they feel like they can’t believe it, convince themselves that this is really yours.",no emotion,brief description of the semantics
81,39,1,I can’t tell you why it’s like this. I just can’t believe it. I just don’t believe it because it seems like there’s nothing to say about how my family was when I was a child or who was bullying me. It seems like there’s nothing there and then I can grow up safely and healthily. But that’s it. I don’t know why it’s like this,no emotion,no action
82,39,2,"It seems that there is a feeling, there are several states and feelings. One is that if you wish to be more confident, you will actually do a lot of hard-working things, which are challenging for you now. In fact, there are some things like when you experimented today, or when you went for a run, or when you went to the theater to try it, you actually tried it, and you got it, and some got good results. But right now, it’s like There is also a distance, that is, it has those proven results and it seems that it does not allow you to accept this properly. This is your ability. There seems to be a distance. Are there any things that you feel are you? What you think you are capable of is your ability that has been recognized by you",no emotion,inquire/brief description of the semantics/summary
83,40,1,"Yes, but it’s said that they know how to live and dress, etc. I think it’s all small things, like how to call a taxi by yourself, maybe you know some strange functions of supermarkets, or something like that. Oh, the only thing I am really proud of is organizing a storage book. Others are more like feeling that although I am better than most people around me, I don’t think that other people besides these people may be very healthy for them. It seems that I really feel that I am doing a good job and there is no comparison.",happiness,no action
84,40,2,"I seem to feel that you have a standard for this, and it seems that you need to meet a certain standard that is recognized in your heart before you can be called worthy. I can be confident and say that this is my ability. For example, when it comes to storage, you just said Say it quickly and say that I am very proud. Then you can naturally admit that this is an ability. But it seems that you just heard it. Even though others do not affirm you, there will be another comparison. It is me. Although you have this ability, other people can do it in other ways. It seems that there is a stronger person in your heart, and you will compare it with what others may have heard or you yourself are aware of, and you will have this. When it comes to standards, you will always be within this standard. What do you think?",no emotion,inquire
85,41,1,"It seems that I care about how much I compare with others, but sometimes if I am more opportunistic, I will be able to beat a few friends around me in this matter, and I will feel more at ease, but there will be a short-term peace of mind, but I feel like this It’s not very good, because it doesn’t seem to be very satisfying even if you only work with a few specific people around you and you can achieve that level.",disgust,no action
86,41,2,"After seeing you, you actually hope that you will keep getting better and better. When you see you, you will hope that you can become a better version of yourself, including what you mentioned, in fact, you feel that you have no confidence in yourself, and you want to become a better self. Be more confident and it seems to be conveying the same thing. In fact, you hope that you can make some progress and become a better version of yourself. What do you think that standard is for you? Because in fact, I see that you will have a person around you. As a person, you may take a few powerful friends around you as a standard for you, and then hope that if you see that your ability exceeds theirs, you will be affirmed. That is a feeling. What do you think that standard will be for you?",no emotion,inquire
87,42,1,"The most direct thing is to say, for example, the average of all the people in the same class. For example, if a certain person taught me something, I might regard that person as good enough, that is, I can do it to the same level as him. Only then will I feel that I am okay, but usually it is usually because he is a major in that field, so he seems to be unable to catch up.",sad,no action
88,42,2,It seems that the standard is what I heard and seems to you to be more like a yes. Maybe it is the level that you feel should be achieved when doing this thing. It is the level that you expect in your heart.,no emotion,no action
89,43,1,"Well, generally speaking, it can be said that if I am the only one doing this, I can do it well and I will not be outsourced or feel that the standard should be my own. The standard should be like this",no emotion,no action
90,43,2,"So I heard that for you, there is a standard so that you will not make mistakes, so these standards of management ability seem to be more important to achieve that standard so that you will not make such mistakes. There is a chance that something will go wrong, so you hope that the thing can be done very well, well, and in a perfect state, so it seems that you need to use a standard or someone else's standards to help you do this thing. When you can meet this standard, it means that you will basically be successful in doing this.",no emotion,no action
91,44,1,"I used to think that as long as I wanted to help others with something I was good at, for example, maybe ordering something online and there was a time limit or something like that, I would be fine if I did it myself. If I helped another person at the same time, Usually I accidentally enter the wrong information somewhere, or I don’t have enough time, or whatever, and then as soon as you talk about doing something for others, it seems like it’s easy to get into trouble, and then I get used to it, and it’s a bit like The curse is that I feel like I will become very used to it, and I will be afraid that I will make mistakes as long as it has to do with other people.",fear/disgust,no action
92,44,2,"Well, when did that happen?",no emotion,inquire
93,45,1,"I think everyone from national high school to college went to college. I thought it was better, but it seems to be about the same.",no emotion,no action
94,45,2,"Like you, uh, are very afraid of yourself, very afraid that you will make mistakes.",no emotion,emotional reflection
95,46,1,Or especially when mistakes affect others,no emotion,no action
96,46,2,You don't seem to want to cause anyone else any extra trouble.,no emotion,inquire/emotional reflection
97,47,1,"Well, I should say that even if they would say that even if something really happened, they would still say it's okay and they can make up for the small things, but they will feel that it is an instant and they will feel very embarrassed to him to an exaggerated level or feel that they owe him. Something like that",no emotion,no action
98,47,2,"It seems that you are relatively good at it, and you are used to it just now. For example, if you want things to be successful, it seems to be the same as this. I hope you can do it and don’t bother others. You don’t want it. You don’t want to burden others. This feeling will make you feel like, well, I Things should be done as well as possible without making mistakes, so it seems that you need to have a standard. Because if you have this standard, it will be reduced, and it will be reduced. It is possible that you will need to trouble others because of mistakes. When you know how to do it, you can do it well and you won’t feel like it’s causing trouble to others.",no emotion,summary
